tweet_id,favorite_count,retweet_count
871032628920680449,20081,3213
870804317367881728,29688,5264
870726314365509632,105,3
870656317836468226,10841,2189
870374049280663552,73655,22638
870308999962521604,19407,3531
870063196459192321,32277,7046
869772420881756160,37841,8653
869702957897576449,24945,5360
869596645499047938,14119,2625
869227993411051520,18051,3180
868880397819494401,57703,12186
868639477480148993,0,1737
868622495443632128,23550,4440
868552278524837888,8919,1737
867900495410671616,21505,3553
867774946302451713,30113,6225
867421006826221569,14286,2109
867072653475098625,0,100
867051520902168576,28569,6752
866720684873056260,17784,4112
866686824827068416,17048,2951
866450705531457537,108343,30028
866334964761202691,46382,12149
866094527597207552,0,7128
865718153858494464,22835,4809
865359393868664832,23492,4267
865006731092295680,24942,6626
864873206498414592,28723,7469
864279568663928832,13020,2568
864197398364647424,26520,7544
863907417377173506,18356,3573
863553081350529029,13617,3610
863471782782697472,0,2081
863432100342583297,21210,4539
863427515083354112,1956,80
863079547188785154,7872,948
863062471531167744,7492,2081
862831371563274240,17164,4440
862722525377298433,15270,3069
862457590147678208,18193,4227
862096992088072192,65997,19883
861383897657036800,32143,9220
861288531465048066,15290,3571
861005113778896900,14929,3318
860981674716409858,0,1846
860924035999428608,0,674
860563773140209665,6698,1846
860524505164394496,21174,4580
860276583193509888,16514,3055
860184849394610176,14949,5101
860177593139703809,0,26581
859924526012018688,17551,3567
859851578198683649,13932,3056
859607811541651456,16769,1359
859196978902773760,80219,26148
859074603037188101,30275,11911
858860390427611136,0,7037
858843525470990336,14069,3016
858471635011153920,19401,4236
858107933456039936,14173,2529
857989990357356544,14437,2257
857746408056729600,30683,9306
857393404942143489,5290,1436
857263160327368704,18191,3954
857214891891077121,204,16
857062103051644929,0,146
857029823797047296,16992,3470
856543823941562368,14780,2534
856526610513747968,10791,1649
856288084350160898,489,15
856282028240666624,25144,5557
855862651834028034,302,21
855860136149123072,4391,850
855857698524602368,10823,1853
855851453814013952,41793,16071
855818117272018944,24203,4793
855459453768019968,27000,7276
855245323840757760,0,5241
855138241867124737,0,36
854732716440526848,20589,5321
854482394044301312,26471,5992
854365224396361728,17135,4131
854120357044912130,29130,6569
854010172552949760,14787,2782
853760880890318849,25990,5101
853639147608842240,31405,8825
853299958564483072,14112,3158
852936405516943360,0,1782
852912242202992640,8219,1591
852672615818899456,13597,1901
852553447878664193,14834,3097
852311364735569921,30261,8835
852226086759018497,18293,6066
852189679701164033,10546,1413
851591660324737024,14910,3115
851464819735769094,22199,6285
851224888060895234,18968,5152
850753642995093505,28020,8043
850380195714523136,12026,2323
850333567704068097,3181,301
850145622816686080,14996,3381
850019790995546112,18708,4351
849776966551130114,27828,6790
849668094696017920,0,4428
849412302885593088,14625,2817
849336543269576704,10525,1681
849051919805034497,38843,7594
848690551926992896,23183,3911
848324959059550208,22759,4136
848213670039564288,7521,644
848212111729840128,14987,2710
847978865427394560,0,2910
847971574464610304,0,394
847962785489326080,21672,4555
847842811428974592,4993,1186
847617282490613760,6449,376
847606175596138505,17299,3073
847251039262605312,18894,3901
847157206088847362,18324,5240
847116187444137987,19820,2867
846874817362120707,18559,3537
846514051647705089,41040,10333
846505985330044928,13030,2752
846153765933735936,28978,8140
846139713627017216,28717,9136
846042936437604353,14761,2579
845812042753855489,26927,7836
845677943972139009,23368,4369
845397057150107648,7066,1615
845306882940190720,21544,4838
845098359547420673,0,6912
844979544864018432,12640,2304
844973813909606400,13884,2839
844580511645339650,15245,2801
844223788422217728,12663,1984
843981021012017153,14064,2693
